Tempo;Entrada;Saida;
937332446;2.798863;8.000000;
937432481;2.793999;8.000000;
937532449;2.767732;8.000000;
937632445;2.783946;8.000000;
937732454;2.789459;8.000000;
937832448;2.775839;8.000000;
937932458;2.774866;8.000000;
938032488;2.771623;8.000000;
938132460;2.820266;8.000000;
938232444;2.780379;8.000000;
938332484;2.793350;8.000000;
938432466;2.776811;8.000000;
938532459;2.751517;8.000000;
938632498;2.775514;8.000000;
938732463;2.759300;8.000000;
938832461;2.793999;8.000000;
938932471;2.779081;8.000000;
939032462;2.794323;8.000000;
939132470;2.792053;8.000000;
939232452;2.771623;8.000000;
939332475;2.763516;8.000000;
939432479;2.725250;8.000000;
939532481;2.800484;8.000000;
939632479;2.781351;8.000000;
939732481;2.745680;8.000000;
939832462;2.758652;8.000000;
939932515;2.754760;8.000000;
940032484;2.782973;8.000000;
940132481;2.777136;8.000000;
940232480;2.770974;8.000000;
940332481;2.734006;8.000000;
940432480;2.733682;8.000000;
940532484;2.740492;8.000000;
940632484;2.744707;8.000000;
940732479;2.738870;8.000000;
940832489;2.750220;8.000000;
940932567;2.737249;8.000000;
941032497;2.737897;8.000000;
941132563;2.764813;8.000000;
941232461;2.750220;8.000000;
941332508;2.772596;8.000000;
941432495;2.747950;8.000000;
941532497;2.728493;8.000000;
941632547;2.775839;8.000000;
941732487;2.746653;8.000000;
941832483;2.743410;8.000000;
941932486;2.755084;8.000000;
942032506;2.737573;8.000000;
942132505;2.758327;8.000000;
942232495;2.764813;8.000000;
942332497;2.749247;8.000000;
942432516;2.738222;8.000000;
942532524;2.674986;8.000000;
942632497;2.714873;8.000000;
942732496;2.712603;8.000000;
942832497;2.738222;8.000000;
942932498;2.710009;8.000000;
943032497;2.700280;8.000000;
943132498;2.724602;8.000000;
943232517;2.726547;8.000000;
943332581;2.744383;8.000000;
943432504;2.708063;8.000000;
943532507;2.739194;8.000000;
943632528;2.737897;8.000000;
943732514;2.674337;8.000000;
943832529;2.725574;8.000000;
943932503;2.713900;8.000000;
944032516;2.711955;8.000000;
944132514;2.743086;8.000000;
944232523;2.697037;8.000000;
944332521;2.686012;8.000000;
944432505;2.726872;8.000000;
944532518;2.674986;8.000000;
944632539;2.738546;8.000000;
944732506;2.716170;8.000000;
944832553;2.701253;8.000000;
944932539;2.742762;8.000000;
945032535;2.735303;8.000000;
945132535;2.724602;8.000000;
945232542;2.715846;8.000000;
945332522;2.700929;8.000000;
945432526;2.734006;8.000000;
945532530;2.687633;8.000000;
945632532;2.728817;8.000000;
945732543;2.684715;8.000000;
945832522;2.710333;8.000000;
945932527;2.744383;8.000000;
946032532;2.718764;8.000000;
946132600;2.721683;8.000000;
946232499;2.714225;8.000000;
946332530;2.709360;8.000000;
946432523;2.711955;8.000000;
946532529;2.707415;8.000000;
946632537;2.716170;8.000000;
946732535;2.738222;8.000000;
946832566;2.687957;8.000000;
946932567;2.690552;8.000000;
947032546;2.707739;8.000000;
947132535;2.708387;8.000000;
947232525;2.690227;8.000000;
947332538;2.698659;8.000000;
947432572;2.723629;8.000000;
947532545;2.690876;8.000000;
947632546;2.703523;8.000000;
